"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.273013792E0,6.116573489E-1,9.655203152E-1,-6.098079915E0
1.282976792E0,-3.667116380E-1,6.039448714E-1,-5.345598224E0
1.292940792E0,-1.084164414E0,7.443587387E-1,-4.018853298E0
1.302904792E0,-1.205319307E0,9.864422375E-1,-3.715935076E0
1.312868792E0,-8.501605976E-1,1.235858729E0,-3.898597707E0
1.322832792E0,9.562185645E-2,1.388637119E0,-3.006524268E0
1.332796792E0,1.836675925E0,6.523867142E-1,-2.400974482E0
1.342760792E0,3.379766076E0,1.137971662E0,-1.225850489E0
1.352725167E0,3.964553715E0,2.032337210E0,4.043946040E-1
1.362689167E0,3.268115832E0,1.376186058E0,7.600719613E-1
1.372652167E0,1.480302749E0,-1.338581445E0,1.377051446E0
1.382616167E0,-1.313507414E0,-3.424924123E0,2.553216535E0
1.392580167E0,-4.243968177E0,-3.320975831E0,2.794239349E0
1.402544167E0,-5.594422978E0,-2.517612839E0,3.350038832E0
1.412508167E0,-4.594250894E0,-1.523276276E0,2.919024779E0
1.422472167E0,-2.178759676E0,-1.037795994E0,1.398821214E0
1.432436167E0,1.902976334E-2,-1.367043352E0,2.993147300E-1
1.442400167E0,7.253786767E-1,-1.510453917E0,-7.746976018E-3
1.452364167E0,7.000654954E-1,-1.696647390E0,2.019423634E-1
1.462328167E0,6.662411070E-1,-1.752511688E0,-2.013424756E-1
1.472291167E0,9.339336562E-1,-1.807946801E0,-1.051108350E0
1.482255167E0,1.021843035E0,-2.585432940E0,-1.901106979E0
1.492219167E0,9.747425437E-1,-2.967565439E0,-1.608709359E0
1.502183167E0,8.029618728E-1,-2.124319759E0,-1.167726388E0
1.512147167E0,1.670087582E-1,-1.856840633E0,-6.077806083E-1
1.522111167E0,-3.471363294E-1,-2.277938393E0,5.695960609E-1
1.532075167E0,-8.306794292E-1,-2.562069220E0,1.551717718E0
1.542039167E0,-1.133810783E0,-3.349880372E0,1.777843726E0
1.552003167E0,-1.386384771E0,-3.842353925E0,3.336609093E-1
1.561966167E0,-8.901672471E-1,-1.836990505E0,-9.940405481E-1
1.571930167E0,1.113108716E0,-1.681869721E-1,-1.488298817E0
1.581894167E0,1.744279978E0,-7.742543828E-1,-1.304010952E0
1.591858167E0,1.363778851E0,-8.845305312E-1,-1.223569636E0
1.601822167E0,1.254315466E0,-9.271707666E-1,-1.187244394E0
1.611786167E0,9.754845554E-1,-7.305230570E-1,-9.720001996E-1
1.621750167E0,9.748279130E-1,-3.176996917E-1,-7.191243486E-1
1.631714167E0,5.053865433E-1,-7.795624852E-2,2.927363200E-1
1.641678167E0,-5.183808106E-1,-5.553276122E-2,7.163771805E-1
1.651641167E0,-1.128282825E0,-5.342244262E-1,3.537392977E-1
1.661605167E0,-1.431302497E0,-1.150005231E0,-3.930264473E-2
1.671569167E0,-1.547815286E0,-1.746701894E0,1.085734391E-1
1.681533167E0,-1.303105803E0,-1.818737252E0,-5.286584616E-2
1.691497167E0,-7.947985750E-1,-1.842616112E0,-8.726574674E-2
1.701461167E0,-7.785737211E-1,-1.794291213E0,-3.431390266E-1
1.711425167E0,-1.084397133E0,-1.375060469E0,-1.102442518E0
1.721389167E0,-8.527544224E-1,-5.255448192E-1,-1.602523005E0
1.731353167E0,-4.774795371E-1,3.663374162E-1,-1.925084364E0
1.741316167E0,-4.955953807E-1,1.127361889E0,-2.078145174E0
1.751280167E0,-1.072020916E0,1.851678711E0,-1.613640024E0
1.761244167E0,-1.863309408E0,2.355457855E0,-8.941500780E-1
1.771208167E0,-2.180481096E0,2.085501264E0,7.080042601E-2
1.781172167E0,-2.013130860E0,1.321163174E0,1.010395941E0
1.791136167E0,-1.657377782E0,4.447246045E-1,2.389302270E0
1.801100167E0,-1.022887056E0,6.535491407E-2,1.377288550E0
1.811064167E0,-1.726425505E-1,-2.464718342E-2,3.655009720E-1
1.821028167E0,-1.331302831E-1,1.932463843E-1,-2.992771617E-1
1.830991167E0,-8.264401978E-1,3.106274843E-1,-7.939543833E-1
1.840955167E0,-1.981959646E0,6.467956066E-2,6.342217541E-1
1.850919167E0,-2.710534118E0,4.019498831E-1,4.826725955E-1
1.860883167E0,-1.911035259E0,1.282272173E0,4.739682841E-1
1.870847167E0,-8.279128191E-1,2.061744027E0,1.386746860E0
1.880811167E0,-3.823231190E-1,2.617255241E0,1.501808370E0
1.890775167E0,-2.419583684E-1,2.633139203E0,1.739371240E0
1.900739167E0,-5.173525777E-1,2.197342712E0,1.851347759E0
